"","model","Accuracy","AccuracySD"
"1","glmnet",0.595700949586078,0.00958549780636831
"2","lda",0.591455241554308,0.00719536194382107
"3","tree",0.876782259126465,0.00641674106127342
"4","randomforest",0.989724206868004,0.00322727686480755
"5","knn",0.855553430227644,0.0091847493952394
"6","gbm",0.943867683340074,0.00596816659756157
