"","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"1",5,0.989724206868004,0.986999670964362,0.00322727686480755,0.00408383607652244
"2",7,0.989384792511006,0.986570826208708,0.00253139561930754,0.00320230035788908
"3",9,0.988875238401505,0.985926807354839,0.00259150431081893,0.003278805268828
"4",11,0.989129943378453,0.986249426912127,0.00239672811053349,0.00303203146500965
"5",13,0.988280794495411,0.985174155523995,0.00200816925373563,0.00254052979496688
"6",15,0.987856093921563,0.984636905047272,0.00264768065029991,0.00334981642993432
"7",17,0.987601424929921,0.98431469284093,0.00176526588729989,0.00223355332465117
